"Gender","Heart_Attack","age_group","bp_group","bmi_group","cholesterol_group","Confirmed Heart Attack Count","% of Heart Attack in Group","% of Total Population"
"Female","No","Adolescent","Elevated","Normal","At-Risk","0","0.00","0.13"
"Female","No","Adolescent","Elevated","Normal","Dangerous","0","0.00","0.06"
"Female","No","Adolescent","Elevated","Normal","Heart-Healthy","0","0.00","0.20"
"Female","No","Adolescent","Elevated","Normal","Very High","0","0.00","0.02"
"Female","No","Adolescent","Elevated","Obese Class 1","At-Risk","0","0.00","0.02"
"Female","No","Adolescent","Elevated","Obese Class 1","Dangerous","0","0.00","0.01"
"Female","No","Adolescent","Elevated","Obese Class 1","Heart-Healthy","0","0.00","0.02"
"Female","No","Adolescent","Elevated","Obese Class 1","Very High","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 3","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adolescent","Elevated","Overweight","At-Risk","0","0.00","0.08"
"Female","No","Adolescent","Elevated","Overweight","Dangerous","0","0.00","0.04"
"Female","No","Adolescent","Elevated","Overweight","Heart-Healthy","0","0.00","0.12"
"Female","No","Adolescent","Elevated","Overweight","Very High","0","0.00","0.02"
"Female","No","Adolescent","Elevated","Underweight","At-Risk","0","0.00","0.02"
"Female","No","Adolescent","Elevated","Underweight","Dangerous","0","0.00","0.01"
"Female","No","Adolescent","Elevated","Underweight","Heart-Healthy","0","0.00","0.04"
"Female","No","Adolescent","Elevated","Underweight","Very High","0","0.00","0.01"
"Female","No","Adolescent","Healthy","Normal","At-Risk","0","0.00","0.24"
"Female","No","Adolescent","Healthy","Normal","Dangerous","0","0.00","0.13"
"Female","No","Adolescent","Healthy","Normal","Heart-Healthy","0","0.00","0.41"
"Female","No","Adolescent","Healthy","Normal","Very High","0","0.00","0.06"
"Female","No","Adolescent","Healthy","Obese Class 1","At-Risk","0","0.00","0.03"
"Female","No","Adolescent","Healthy","Obese Class 1","Dangerous","0","0.00","0.02"
"Female","No","Adolescent","Healthy","Obese Class 1","Heart-Healthy","0","0.00","0.06"
"Female","No","Adolescent","Healthy","Obese Class 1","Very High","0","0.00","0.01"
"Female","No","Adolescent","Healthy","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Healthy","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Obese Class 3","Heart-Healthy","0","0.00","0.01"
"Female","No","Adolescent","Healthy","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adolescent","Healthy","Overweight","At-Risk","0","0.00","0.17"
"Female","No","Adolescent","Healthy","Overweight","Dangerous","0","0.00","0.09"
"Female","No","Adolescent","Healthy","Overweight","Heart-Healthy","0","0.00","0.27"
"Female","No","Adolescent","Healthy","Overweight","Very High","0","0.00","0.04"
"Female","No","Adolescent","Healthy","Underweight","At-Risk","0","0.00","0.04"
"Female","No","Adolescent","Healthy","Underweight","Dangerous","0","0.00","0.02"
"Female","No","Adolescent","Healthy","Underweight","Heart-Healthy","0","0.00","0.07"
