"Age Group","Gender","Heart Attack","Count","Percentage","% of Heart Attack by Gender","% of Heart Attack"
"Adolescent","Female","No","9272","41.40","87.52","3.90"
"Adolescent","Female","Yes","1322","5.90","12.48","4.14"
"Adolescent","Male","No","9675","43.20","88.56","4.06"
"Adolescent","Male","Yes","1250","5.58","11.44","3.91"
"Adolescent","Other","No","759","3.39","86.45","0.32"
"Adolescent","Other","Yes","119","0.53","13.55","0.37"
"Adult","Female","No","47472","42.15","87.89","19.94"
"Adult","Female","Yes","6543","5.81","12.11","20.47"
"Adult","Male","No","47647","42.31","88.06","20.02"
"Adult","Male","Yes","6462","5.74","11.94","20.22"
"Adult","Other","No","3998","3.55","88.82","1.68"
"Adult","Other","Yes","503","0.45","11.18","1.57"
"Middle Age Adult","Female","No","36059","42.59","88.52","15.15"
"Middle Age Adult","Female","Yes","4678","5.52","11.48","14.64"
"Middle Age Adult","Male","No","35849","42.34","88.44","15.06"
"Middle Age Adult","Male","Yes","4687","5.54","11.56","14.67"
"Middle Age Adult","Other","No","2961","3.50","87.17","1.24"
"Middle Age Adult","Other","Yes","436","0.51","12.83","1.36"
"Young Adult","Female","No","21402","42.54","88.27","8.99"
"Young Adult","Female","Yes","2843","5.65","11.73","8.90"
"Young Adult","Male","No","21143","42.03","88.06","8.88"
"Young Adult","Male","Yes","2868","5.70","11.94","8.97"
"Young Adult","Other","No","1804","3.59","87.91","0.76"
"Young Adult","Other","Yes","248","0.49","12.09","0.78"
