"age_group","Heart Attack","Gender","Smoking","Number of Patients","Percentage of Total Patients","% of Total Population"
"Adolescent","No","Female","No","6464","2.39","2.39"
"Adolescent","No","Female","Yes","2808","1.04","1.04"
"Adolescent","No","Male","No","6731","2.49","2.49"
"Adolescent","No","Male","Yes","2944","1.09","1.09"
"Adolescent","No","Other","No","540","0.20","0.20"
"Adolescent","No","Other","Yes","219","0.08","0.08"
"Adolescent","Yes","Female","No","888","0.33","0.33"
"Adolescent","Yes","Female","Yes","434","0.16","0.16"
"Adolescent","Yes","Male","No","873","0.32","0.32"
"Adolescent","Yes","Male","Yes","377","0.14","0.14"
"Adolescent","Yes","Other","No","93","0.03","0.03"
"Adolescent","Yes","Other","Yes","26","0.01","0.01"
"Adult","No","Female","No","33152","12.28","12.28"
"Adult","No","Female","Yes","14320","5.30","5.30"
"Adult","No","Male","No","33245","12.31","12.31"
"Adult","No","Male","Yes","14402","5.33","5.33"
"Adult","No","Other","No","2805","1.04","1.04"
"Adult","No","Other","Yes","1193","0.44","0.44"
"Adult","Yes","Female","No","4589","1.70","1.70"
"Adult","Yes","Female","Yes","1954","0.72","0.72"
"Adult","Yes","Male","No","4547","1.68","1.68"
"Adult","Yes","Male","Yes","1915","0.71","0.71"
"Adult","Yes","Other","No","356","0.13","0.13"
"Adult","Yes","Other","Yes","147","0.05","0.05"
"Middle Age Adult","No","Female","No","25311","9.37","9.37"
"Middle Age Adult","No","Female","Yes","10748","3.98","3.98"
"Middle Age Adult","No","Male","No","25111","9.30","9.30"
"Middle Age Adult","No","Male","Yes","10738","3.98","3.98"
"Middle Age Adult","No","Other","No","2060","0.76","0.76"
"Middle Age Adult","No","Other","Yes","901","0.33","0.33"
"Middle Age Adult","Yes","Female","No","3282","1.22","1.22"
"Middle Age Adult","Yes","Female","Yes","1396","0.52","0.52"
"Middle Age Adult","Yes","Male","No","3299","1.22","1.22"
"Middle Age Adult","Yes","Male","Yes","1388","0.51","0.51"
"Middle Age Adult","Yes","Other","No","309","0.11","0.11"
"Middle Age Adult","Yes","Other","Yes","127","0.05","0.05"
"Young Adult","No","Female","No","14887","5.51","5.51"
"Young Adult","No","Female","Yes","6515","2.41","2.41"
"Young Adult","No","Male","No","14809","5.48","5.48"
"Young Adult","No","Male","Yes","6334","2.35","2.35"
"Young Adult","No","Other","No","1240","0.46","0.46"
"Young Adult","No","Other","Yes","564","0.21","0.21"
"Young Adult","Yes","Female","No","1965","0.73","0.73"
"Young Adult","Yes","Female","Yes","878","0.33","0.33"
"Young Adult","Yes","Male","No","2061","0.76","0.76"
"Young Adult","Yes","Male","Yes","807","0.30","0.30"
"Young Adult","Yes","Other","No","175","0.06","0.06"
"Young Adult","Yes","Other","Yes","73","0.03","0.03"
